listing_id,weekly_rent,bond,bedrooms,bathrooms,car_spaces,property_type_primary,property_type_secondary,address,suburb,state,postcode,lat,lon,orientation_degrees,orientation_cardinal
11438267,650.0,2820.0,3.0,,5.0,House,House,32 Withers Avenue,Mulgrave,VIC,3170.0,-37.9337378,145.1759635,228.0817718131007,SW
11438470,699.0,3042.0,2.0,2.0,1.0,Townhouse/Villa,Townhouse,4/119 McKinnon Road,McKinnon,VIC,3204.0,-37.9105773,145.0358501,228.85148398674002,SW
11442209,530.0,2303.0,3.0,2.0,2.0,House,House,9 Glover Street,Epping,VIC,3076.0,-37.622094,145.0135321,231.03077624480306,SW
11447599,800.0,2500.0,2.0,2.0,1.0,Apartment,Apartment / Unit / Flat,2910/241 City Road,Southbank,VIC,3006.0,-37.8265171,144.960065,229.7670445356755,SW
11460388,400.0,1738.0,1.0,1.0,1.0,Apartment,Apartment / Unit / Flat,6/6 Beach Avenue,Elwood,VIC,3184.0,-37.8851108,144.9857919,229.2432881620822,SW
11479905,520.0,2254.0,2.0,2.0,1.0,Apartment,Apartment / Unit / Flat,9/82 Blyth Street,Brunswick,VIC,3056.0,-37.7663376,144.9689655,230.1614726710832,SW
11488513,520.0,2260.0,2.0,1.0,1.0,Apartment,Apartment / Unit / Flat,3/87 Denham Street,Hawthorn,VIC,3122.0,-37.8193388,145.0238319,229.55012565139847,SW
11549257,440.0,1912.0,2.0,1.0,1.0,Apartment,Apartment / Unit / Flat,2/41 Canberra Street,Brunswick,VIC,3056.0,-37.7577178,144.9569139,230.27386075729052,SW
11560577,,,1.0,1.0,1.0,House,House,Car Space/6 Leicester Street,Carlton,VIC,3053.0,-37.8028792,144.9606176,229.93366592581341,SW
11624786,750.0,3259.0,4.0,2.0,2.0,House,House,5 Eden Valley Close,Vermont South,VIC,3133.0,-37.8548176,145.1963527,228.55186315552876,SW
11627977,475.0,2064.0,3.0,2.0,1.0,House,House,4 Lalor Court,Caroline Springs,VIC,3023.0,-37.7564715,144.74807,231.13209386926158,SW
