listing_id,weekly_rent,bond,bedrooms,bathrooms,car_spaces,lat,lon,property_type_primary,property_type_secondary,address,suburb,state,postcode,source_file
17742196,980.0,5880.0,4.0,3.0,5.0,-37.7605474,144.8650618,House,House,6 Landau Place,Avondale Heights,VIC,3034,17742196.html
17742198,520.0,2259.0,2.0,1.0,1.0,-37.8077126,144.8790483,Apartment,Apartment / Unit / Flat,12/15 Kingsville Street,Kingsville,VIC,3012,17742198.html
17742203,750.0,3259.0,2.0,2.0,2.0,-37.8625928,145.0756738,Apartment,Apartment / Unit / Flat,2A Johnston Street,Ashburton,VIC,3147,17742203.html
17742220,630.0,2738.0,4.0,2.0,2.0,-38.0638401,145.4030867,House,House,10 Ruben Street,Officer,VIC,3809,17742220.html
17742221,600.0,2607.0,3.0,2.0,1.0,-37.6622866,145.0277813,House,House,90 Partridge St,Lalor,VIC,3075,17742221.html
17742223,350.0,1521.0,2.0,1.0,1.0,-38.3107538,142.9423315,House,House,191 Thorntons Rd W,Dixie,VIC,3265,17742223.html
17742225,600.0,2607.0,3.0,1.0,1.0,-37.801203,144.9047692,House,House,35 Cowper Street,Footscray,VIC,3011,17742225.html
17742226,450.0,1955.0,3.0,1.0,2.0,-37.6698472,145.0099311,House,House,1/114 Mount View Road,Lalor,VIC,3075,17742226.html
17742229,320.0,1387.0,1.0,1.0,1.0,-37.7834778,144.8233669,Apartment,Apartment / Unit / Flat,8/36 Ridley Street,Albion,VIC,3020,17742229.html
17742231,570.0,2477.0,3.0,1.0,4.0,-38.1570917,145.1905062,House,House,52 Warrandyte Road,Langwarrin,VIC,3910,17742231.html
17742234,630.0,2730.0,3.0,1.0,1.0,-37.7783484,145.2925541,House,House,326 Maroondah Highway,Croydon,VIC,3136,17742234.html
17742240,250.0,1000.0,2.0,1.0,1.0,-37.9567823,142.123478,House,House,1461 Gerrigerrup Road,Gerrigerrup,VIC,3289,17742240.html
17742242,400.0,1735.0,3.0,1.0,1.0,-34.1965103,142.14709,House,House,2 Havilah Crescent,Mildura,VIC,3500,17742242.html
17742244,480.0,2085.0,4.0,2.0,2.0,-37.5844095,143.7976559,House,House,31 Telluride Drive,Winter Valley,VIC,3358,17742244.html
17742247,590.0,2564.0,3.0,2.0,2.0,-38.0976299,145.2539549,House,House,16 Copernicus Circuit,Cranbourne West,VIC,3977,17742247.html
17742248,480.0,,4.0,2.0,2.0,-37.7612184,144.6762616,House,House,14 Azas Street,Truganina,VIC,3029,17742248.html
17742249,740.0,3215.0,4.0,2.0,2.0,-38.137171,145.2004842,House,House,4 Tarwin Court,Langwarrin,VIC,3910,17742249.html
17742250,750.0,3259.0,1.0,1.0,0.0,-37.8132363,144.9540083,Apartment,Apartment / Unit / Flat,1306/301 King Street,Melbourne,VIC,3000,17742250.html
17742256,520.0,2260.0,1.0,1.0,0.0,-37.7902269,144.9392885,Apartment,Apartment / Unit / Flat,102/145 Boundary Road,North Melbourne,VIC,3051,17742256.html
17742260,800.0,3476.0,3.0,2.0,2.0,-37.92552000000001,145.1852802,House,House,2 Malone Grove,Mulgrave,VIC,3170,17742260.html
17742261,600.0,2607.0,2.0,1.0,1.0,-37.810074,144.985476,Apartment,Apartment / Unit / Flat,216V/162 Albert Street,East Melbourne,VIC,3002,17742261.html
17742263,500.0,2173.0,2.0,2.0,1.0,-37.9104858,144.7592687,Townhouse/Villa,Townhouse,12 Tattersalls Lane,Point Cook,VIC,3030,17742263.html
17742265,485.0,2107.0,4.0,2.0,2.0,-37.58663019999999,143.7997297,House,House,16 Valberg Street,Winter Valley,VIC,3358,17742265.html
17742266,850.0,3693.0,3.0,2.0,2.0,-37.7447679,145.0749253,Townhouse/Villa,Townhouse,2/17 Coorie Cres,Rosanna,VIC,3084,17742266.html
17742268,640.0,2781.0,2.0,1.0,1.0,-37.7688704,144.9606617,Apartment,Apartment / Unit / Flat,110/288 Albert Street,Brunswick,VIC,3056,17742268.html
17742269,430.0,1868.0,1.0,1.0,1.0,-37.8344185,144.9804348,Apartment,Apartment / Unit / Flat,12/123 Millswyn Street,South Yarra,VIC,3141,17742269.html
17742274,660.0,2868.0,3.0,2.0,1.0,-38.0783957,145.125586,Townhouse/Villa,Townhouse,74B Valetta Street,Carrum,VIC,3197,17742274.html
17742284,475.0,2063.0,2.0,1.0,1.0,-38.2694456,144.5230849,Apartment,Apartment / Unit / Flat,1/77 Orton Street,Ocean Grove,VIC,3226,17742284.html
17742292,530.0,2303.0,4.0,2.0,2.0,-37.6271001,144.8774627,House,House,4 Honey Flower Way,Greenvale,VIC,3059,17742292.html
17742297,520.0,2260.0,3.0,2.0,1.0,-37.6063839,145.0633586,Townhouse/Villa,Townhouse,3 Gosling Street,Mernda,VIC,3754,17742297.html
17742300,430.0,1868.0,1.0,1.0,1.0,-37.7750016,144.9443924,Apartment,Apartment / Unit / Flat,4/465 Brunswick Road,Brunswick West,VIC,3055,17742300.html
17742302,450.0,1956.0,1.0,1.0,1.0,-37.775285,144.990338,Apartment,Apartment / Unit / Flat,108/56-58 St Georges Road,Northcote,VIC,3070,17742302.html
17742305,530.0,2302.0,4.0,2.0,2.0,-38.2435747,144.3669365,House,House,19 Forresters Way,Armstrong Creek,VIC,3217,17742305.html
17742306,650.0,2824.0,2.0,1.0,0.0,-37.8520563,144.9883682,House,House,57 Upton Road,Prahran,VIC,3181,17742306.html
17742310,450.0,2064.0,2.0,1.0,2.0,-36.990857,144.0678867,House,House,25 Church Street,Maldon,VIC,3463,17742310.html
17742313,1200.0,5214.0,5.0,3.0,2.0,-38.3371417,144.3125357,House,House,18 Diggers Wy,Torquay,VIC,3228,17742313.html
17742317,590.0,2564.0,2.0,2.0,1.0,-37.8140612,145.2317423,Apartment,Apartment / Unit / Flat,704/233 Maroondah Highway,Ringwood,VIC,3134,17742317.html
17742321,500.0,2173.0,4.0,2.0,2.0,-37.9172898,144.6270136,House,House,19 Horton Drive,Werribee,VIC,3030,17742321.html
17742322,620.0,2694.0,4.0,2.0,2.0,-38.22624769999999,144.3471767,House,House,41 Inglenook Circuit,Armstrong Creek,VIC,3217,17742322.html
17742323,475.0,2059.0,3.0,1.0,2.0,-37.6945689,144.9684517,House,House,57/Alec Crescent,Fawkner,VIC,3060,17742323.html
17742326,520.0,2260.0,3.0,2.0,1.0,-37.8952519,144.7378547,House,House,2/3 Santander Crescent,Point Cook,VIC,3030,17742326.html
17742327,500.0,2173.0,3.0,2.0,1.0,-37.5864412,144.711465,House,House,12 Kingsley Drive,Sunbury,VIC,3429,17742327.html
17742330,400.0,1738.0,3.0,1.0,1.0,-38.1886575,146.2485115,House,House,59 Elizabeth Street,Moe,VIC,3825,17742330.html
17742332,480.0,2086.0,2.0,1.0,0.0,-38.3753451,144.8247442,House,House,49 Lyons Street,Rye,VIC,3941,17742332.html
17742340,600.0,,3.0,1.0,1.0,-37.7849569,144.8672395,Apartment,Apartment / Unit / Flat,3/1 Clarendon Street,Maidstone,VIC,3012,17742340.html
17742344,440.0,1906.0,3.0,1.0,2.0,-34.2022413,142.1482322,House,House,2 Allunga Court,Mildura,VIC,3500,17742344.html
17742347,650.0,2816.0,2.0,2.0,1.0,-37.735786,144.9743204,House,House,17 Woiwurung Crescent,Coburg,VIC,3058,17742347.html
17742349,650.0,2825.0,2.0,1.0,1.0,-37.867935,144.9805292,Apartment,Apartment / Unit / Flat,307/7 Belford Street,St Kilda,VIC,3182,17742349.html
17742350,570.0,2477.0,4.0,2.0,1.0,-38.1435953,145.8926354,House,House,1579 Princes Way,Drouin East,VIC,3818,17742350.html
